        size,          ops,         time,      op/time
      131072,     31248384,     0.029792,  1.04889e+09
      262144,     31248384,     0.035138,  8.89305e+08
      393216,     31248384,     0.042768,  7.30649e+08
      524288,     31244288,     0.045519,  6.86401e+08
      655360,     31242240,     0.046713,  6.68813e+08
      786432,     31248384,     0.049763,  6.27944e+08
      917504,     31238144,     0.048681,  6.41691e+08
     1048576,     31244288,     0.047372,  6.59552e+08
     1179648,     31242240,     0.047061,  6.63867e+08
     1310720,     31232000,     0.047178,  6.62003e+08
     1441792,     31246336,     0.047539,  6.57278e+08
     1572864,     31236096,     0.049038,  6.36977e+08
     1703936,     31229952,     0.047709,  6.54592e+08
     1835008,     31223808,     0.047629,  6.55563e+08
     1966080,     31242240,     0.047150,  6.62614e+08
     2097152,     31227904,     0.047438,  6.58289e+08
     2228224,     31229952,     0.047443,  6.58263e+08
     2359296,     31223808,     0.047467,    6.578e+08
     2490368,     31246336,     0.048328,  6.46547e+08
     2621440,     31211520,     0.048476,  6.43855e+08
     2752512,     31223808,     0.048941,  6.37989e+08
     2883584,     31223808,     0.047980,  6.50767e+08
     3014656,     31229952,     0.047914,  6.51792e+08
     3145728,     31211520,     0.047494,  6.57168e+08
     3276800,     31232000,     0.047343,  6.59696e+08
     3407872,     31203328,     0.047905,  6.51358e+08
     3538944,     31242240,     0.047545,  6.57109e+08
     3670016,     31195136,     0.048052,  6.49195e+08
     3801088,     31240192,     0.048018,  6.50593e+08
     3932160,     31211520,     0.049761,  6.27229e+08
     4063232,     31236096,     0.047581,  6.56483e+08
     4194304,     31195136,     0.050133,  6.22248e+08
     4325376,     31223808,     0.048392,  6.45227e+08
     4456448,     31195136,     0.048487,  6.43371e+08
     4587520,     31180800,     0.049030,  6.35954e+08
     4718592,     31186944,     0.048839,  6.38566e+08
     4849664,     31219712,     0.049206,   6.3447e+08
     4980736,     31207424,     0.050138,  6.22431e+08
     5111808,     31229952,     0.050971,    6.127e+08
     5242880,     31211520,     0.050384,  6.19473e+08
     5373952,     31236096,     0.051102,   6.1125e+08
     5505024,     31223808,     0.051143,   6.1052e+08
     5636096,     31174656,     0.051683,   6.0319e+08
     5767168,     31178752,     0.052857,   5.8987e+08
     5898240,     31242240,     0.053706,  5.81727e+08
     6029312,     31182848,     0.051389,    6.068e+08
     6160384,     31186944,     0.054023,   5.7729e+08
     6291456,     31162368,     0.054869,  5.67941e+08
     6422528,     31209472,     0.057246,  5.45182e+08
     6553600,     31232000,     0.057375,  5.44349e+08
     6684672,     31229952,     0.054073,  5.77552e+08
     6815744,     31203328,     0.054135,  5.76398e+08
     6946816,     31152128,     0.057387,  5.42843e+08
     7077888,     31186944,     0.058697,  5.31321e+08
     7208960,     31201280,     0.063706,   4.8977e+08
     7340032,     31195136,     0.062538,  4.98819e+08
     7471104,     31168512,     0.062464,  4.98984e+08
     7602176,     31240192,     0.068279,  4.57537e+08
     7733248,     31174656,     0.068990,  4.51872e+08
     7864320,     31211520,     0.068962,   4.5259e+08
     7995392,     31232000,     0.069962,  4.46414e+08
     8126464,     31236096,     0.078660,  3.97103e+08
     8257536,     31223808,     0.079564,  3.92436e+08
